Артикул;Наименование;Остаток;Цена;МРЦ;Бренд;Серия;
93411379;Комплект мешков пылесборных для пылесоса Bort BB-01U (93411379);более 10;503;710;Bort;;
93411386;Комплект мешков пылесборных для пылесоса Bort BB-02U (93411386);более 10;683;960;Bort;;
93411393;Комплект мешков пылесборных для пылесоса Bort BB-03U (93411393);более 10;420;590;Bort;;
93411409;Комплект мешков пылесборных для пылесоса Bort BB-04U (93411409);более 10;518;730;Bort;;
93411416;Комплект мешков пылесборных для пылесоса Bort BB-05U (93411416);более 10;473;670;Bort;;
93411423;Комплект мешков пылесборных для пылесоса Bort BB-06U (93411423);более 10;488;690;Bort;;
93411430;Комплект мешков пылесборных для пылесоса Bort BB-07U (93411430);более 10;420;590;Bort;;
93411447;Комплект мешков пылесборных для пылесоса Bort BB-08U (93411447);более 10;503;710;Bort;;
93411454;Комплект мешков пылесборных для пылесоса Bort BB-09U (93411454);более 10;503;710;Bort;;
93411065;Комплект мешков пылесборных для пылесоса Bort BB-10HD (93411065);более 10;308;430;Bort;;
93410655;Комплект мешков пылесборных для пылесоса Bort BB-10NU (93410655);более 10;300;420;Bort;;
91275844;Комплект мешков пылесборных для пылесоса Bort BB-10U (91275844);более 10;308;440;Bort;;
91275868;Комплект мешков пылесборных для пылесоса Bort BB-15 (91275868);более 10;375;560;Bort;;
91275851;Комплект мешков пылесборных для пылесоса Bort BB-15W (91275851);1;360;500;Bort;;
93410662;Комплект мешков пылесборных для пылесоса Bort BB-18 (93410662);более 10;368;570;Bort;;
98291926;Комплект мешков пылесборных для пылесоса Bort BB-20 (98291926);более 10;630;840;Bort;;
93410679;Комплект мешков пылесборных для пылесоса Bort BB-20N (93410679);более 10;390;550;Bort;;
91275875;Комплект мешков пылесборных для пылесоса Bort BB-20U (91275875);более 10;353;560;Bort;;
91275882;Комплект мешков пылесборных для пылесоса Bort BB-25 (91275882);более 10;458;620;Bort;;
93410709;Комплект мешков пылесборных для пылесоса Bort BB-25PP (93410709);более 10;383;620;Bort;;
98291919;Комплект мешков пылесборных для пылесоса Bort BB-30 (98291919);более 10;518;690;Bort;;
93410686;Комплект мешков пылесборных для пылесоса Bort BB-30NU (93410686);более 10;360;660;Bort;;
93411072;Комплект мешков пылесборных для пылесоса Bort BB-30P (93411072);более 10;488;630;Bort;;
91275899;Комплект мешков пылесборных для пылесоса Bort BB-30SA (91275899);Нет в наличии;443;650;Bort;;
91275929;Комплект мешков пылесборных для пылесоса Bort BB-30U (91275929);более 10;443;690;Bort;;
91275936;Комплект мешков пылесборных для пылесоса Bort BB-35 (91275936);Нет в наличии;405;700;Bort;;
93410693;Комплект мешков пылесборных для пылесоса Bort BB-60NU (93410693);более 10;450;910;Bort;;
91275943;Комплект мешков пылесборных для пылесоса Bort BB-60U (91275943);Нет в наличии;480;770;Bort;;
93411706;Комплект щеток для пылесоса Bort SB-1-R (93411706);более 10;135;180;Bort;;
93410051;Копье для мойки высокого давления Bort BHL-170 (Струйная трубка) (93410051);Нет в наличии;450;600;Bort;;
98294248;Копье для мойки высокого давления Bort BHL-45 (Cтруйная трубка угловая) (98294248);Нет в наличии;702;1200;Bort;;
98294255;Копье для мойки высокого давления Bort BHL-TURBO (Струйная трубка  Грязевая фреза) (98294255);Нет в наличии;480;820;Bort;;
93410204;Мешок многоразовый для пылесоса Bort BB-15M (93410204);Нет в наличии;480;810;Bort;;
93410211;Мешок многоразовый для пылесоса Bort BB-20UM (93410211);более 10;509;1120;Bort;;
93411645;Насадка моющая для мягкой мебели Bort Small washing brush (93411645);Нет в наличии;568;970;Bort;;
93411850;Обтяжка микроволоконная Bort Microfiber (для BSS-36 Duo) (93411850);более 10;176;300;Bort;;
93411911;Переходник Adapter Bort-Karcher (93411911);более 10;164;280;Bort;;
93411928;Переходник Adapter Karcher-Bort (93411928);более 10;187;320;Bort;;
93410723;Переходник Bort Connector for BHR access (93410723);более 10;263;450;Bort;;
93411713;Салфетка из ткани Bort SB-MOP (93411713);более 10;135;180;Bort;;
93412161;Сито пробка Bort Sink Strainer + Tamper Sink Strainer (93412161);более 10;708;1210;Bort;;
93411058;Трубка сливная Bort Drain pipe (93411058);более 10;217;370;Bort;;
93410068;Трубка удлинительная для моек высокого давления Bort BHL-Extension (1 ступень) (93410068);Нет в наличии;308;410;Bort;;
98291933;Фильтр для пылесоса патронный Bort BF-1 (98291933);более 10;1018;1740;Bort;;
91663082;Фильтр для пылесоса патронный Bort BF-1218 (91663082);более 10;334;570;Bort;;
93412437;Фильтр для пылесоса патронный Bort BF-15-HEPA (93412437);более 10;228;390;Bort;;
93722166;Фильтр для пылесоса патронный Bort BF-15W-HEPA (93722166);более 10;181;310;Bort;;
93412345;Фильтр для пылесоса патронный Bort BF-18B-HEPA (93412345);более 10;263;450;Bort;;
93410044;Фильтр для пылесоса патронный Bort BF-20-HEPA (93410044);более 10;421;720;Bort;;
93412338;Фильтр для пылесоса патронный Bort BF-22B-HEPA (93412338);более 10;457;780;Bort;;
93412420;Фильтр для пылесоса патронный Bort BF-22M-HEPA (93412420);Нет в наличии;416;710;Bort;;
93721824;Фильтр для пылесоса патронный Bort BF-30SA-HEPA (93721824);более 10;697;1190;Bort;;
93722173;Фильтр для пылесоса тканевый Bort BF-20M (93722173);более 10;656;1280;Bort;;
91275653;Фильтр для пылесоса тканевый Bort BF-2260 (91275653);более 10;1317;2250;Bort;;
93722180;Фильтр для пылесоса тканевый Bort BF-30M (93722180);более 10;784;1530;Bort;;
93722203;Фильтр для пылесоса тканевый Bort BF-40M (93722203);более 10;720;1300;Bort;;
93722210;Фильтр для пылесоса тканевый Bort BF-60M (93722210);более 10;831;1510;Bort;;
93411843;Шланг высокого давления Bort BHS-10-PREMIUM (93411843);более 10;2844;3790;Bort;;
98294309;Шланг высокого давления Bort BHS-8-Pro (98294309);более 10;1756;2340;Bort;;
93411942;Шланг заборный Bort BHS-2 (93411942);более 10;615;1050;Bort;;
93412444;Шланг Bort Steam hose 2500C (93412444);более 10;977;1670;Bort;;
93722289;Щетка для мойки высокого давления Bort Brush R вращающаяся (93722289);более 10;1106;1890;Bort;;
93722272;Щетка для мойки высокого давления Bort Brush U фиксированная (93722272);более 10;650;1110;Bort;;
93722319;Щетка для мойки высокого давления Bort Speed Master для плоских поверхностей (93722319);более 10;3360;5740;Bort;;
93412833;Салфетка из ткани Bort Microfiber pad (93412833);Нет в наличии;152;260;Bort;;
93411027;Кольцо Bort (93411027);более 10;380;650;Bort;MASTER ECO;
93411034;Кольцо Bort (93411034);3;252;430;Bort;MASTER ECO;
93724566;Пневмовыключатель Bort (93724566);более 10;767;1310;Bort;;
93411010;Пробка Bort (93411010);2;228;390;Bort;MASTER ECO;
93410990;Прокладка установочная Bort (93410990);2;351;600;Bort;TITAN;
93411003;Прокладка установочная Bort (93411003);более 10;293;500;Bort;MASTER ECO;
93725693;Проталкиватель Bort (93725693);Нет в наличии;328;560;Bort;TITAN;
93725662;Сито пробка Bort (93725662);более 5;667;1140;Bort;TITAN;
93411041;Фланец в мойку Bort (93411041);3;457;780;Bort;MASTER ECO;
93412154;Пневмовыключатель Bort Air switch (3 colors) (93412154);более 10;966;1650;Bort;Air switch;
93412116;Пневмовыключатель Bort Air switch (black) (93412116);Нет в наличии;767;1310;Bort;Air switch;
93412147;Пневмовыключатель Bort Air switch (bronze) (93412147);более 10;767;1310;Bort;Air switch;
93412130;Пневмовыключатель Bort Air switch (polish) (93412130);более 10;767;1310;Bort;Air switch;
93412123;Пневмовыключатель Bort Air switch (white) (93412123);более 10;767;1310;Bort;Air switch;
93725679;Рассекатель Bort Quiet Collar Sink Baffle (93725679);более 10;299;510;Bort;;
93725686;Рассекатель Bort Seal Splash Guard Protection (93725686);более 10;287;490;Bort;;
93412192;Фланец в мойку Bort Washing flange Eco SET (93412192);более 10;1317;2250;Bort;Washing flange;
93412178;Фланец в мойку Bort Washing flange FB40 (93412178);более 10;778;1330;Bort;Washing flange;
93412185;Фланец в мойку Bort Washing flange FB60 (93412185);более 10;983;1680;Bort;Washing flange;
93411539;Фланец в мойку Bort Washing flange FS40 (93411539);более 10;574;980;Bort;Washing flange;
93412208;Фланец в мойку Bort Washing flange FS40 SET (93412208);более 10;2189;3740;Bort;Washing flange;
93412109;Фланец в мойку Bort Washing flange FS60 (93412109);более 10;793;1390;Bort;Washing flange;
93410570;Отпариватель для одежды Bort Comfort + (93410570);более 10;8344;10390;Bort;Comfort +;
93411294;Отпариватель для одежды Bort Comfort + (Black Edition) (93411294);Нет в наличии;7168;10090;Bort;Comfort +;
93410976;Отпариватель для одежды Bort Compact (93410976);более 10;1841;2210;Bort;Compact;
93410785;Отпариватель для одежды Bort Compact + (93410785);более 10;1591;1910;Bort;Compact +;
93410587;Отпариватель для одежды Bort Pro Iron (93410587);более 10;12824;17090;Bort;Pro Iron;
98296594;Перфоратор электрический Bort BHD-1000-TURBort BO (98296594);более 10;5589;7890;Bort;;
91271174;Аппарат для сварки труб Bort BRS-1000 (91271174);более 5;2319;3090;Bort;;
91271181;Аппарат для сварки труб Bort BRS-2000 (91271181);более 10;3237;4790;Bort;;
93411720;Аппарат для сварки труб Bort BRS-3000 (93411720);более 10;3360;4940;Bort;;
91270658;Гайковерт проводной автомобильный Bort BSR-12 (91270658);более 10;3219;4290;Bort;;
91275806;Гайковерт проводной автомобильный Bort BSR-12H (91275806);Нет в наличии;3444;4590;Bort;;
93720636;Гайковерт проводной автомобильный Bort BSR-12Li (93720636);Нет в наличии;7121;9490;Bort;;
93722883;Гайковерт сетевой Bort BSR-1100X (93722883);Нет в наличии;9448;12590;Bort;;
93722869;Гайковерт сетевой Bort BSR-900 (93722869);более 10;6371;8490;Bort;;
91275479;Гравер аккумуляторный Bort BCT-72Li (91275479);более 10;2806;3740;Bort;;
98295658;Гравер электрический Bort BCT-140 (98295658);Нет в наличии;1838;2450;Bort;;
93727796;Гравер электрический Bort BCT-170N (93727796);более 10;2919;3890;Bort;;
93726959;Дрель ударная Bort BSM-1100 (93726959);более 10;4195;5590;Bort;;
93412499;Дрель ударная Bort BSM-1100x2 (93412499);Нет в наличии;5395;7190;Bort;;
93729080;Дрель ударная Bort BSM-500-P (93729080);более 10;1771;2360;Bort;;
93726881;Дрель ударная Bort BSM-650U (93726881);более 10;2131;2840;Bort;;
93726898;Дрель ударная Bort BSM-650U-Q (93726898);более 10;2244;2990;Bort;;
93726911;Дрель ударная Bort BSM-750U (93726911);более 10;2356;3140;Bort;;
93727833;Дрель ударная Bort BSM-900U-Q (93727833);более 10;3632;4840;Bort;;
98296556;Дрель электрическая Bort BSM-540 (98296556);более 10;2019;2690;Bort;;
93728410;Дрель-шуруповерт аккумуляторная Bort BABort B-10,8N-Li (1x1,3А.ч) (93728410);более 10;2623;3040;Bort;;
91270016;Дрель-шуруповерт аккумуляторная Bort BABort B-10,8-P (1x1,3А.ч) (91270016);Нет в наличии;2199;2640;Bort;;
91270948;Дрель-шуруповерт аккумуляторная Bort BABort B-10,8-Px2D (2x1,3А.ч) (91270948);Нет в наличии;3184;3690;Bort;;
98296501;Дрель-шуруповерт аккумуляторная Bort BABort B-12-D (2x1,3А.ч) (98296501);Нет в наличии;2844;3790;Bort;;
91276049;Дрель-шуруповерт аккумуляторная Bort BABort B-12Li (1x1,3А.ч) (91276049);более 10;2016;2540;Bort;;
93412475;Дрель-шуруповерт аккумуляторная Bort BABort B-12Li-P (1x1,3Ah) (93412475);Нет в наличии;1791;2150;Bort;;
98299953;Дрель-шуруповерт аккумуляторная Bort BABort B-12-P (1x1,3А.ч) (98299953);более 10;2094;2640;Bort;;
91276056;Дрель-шуруповерт аккумуляторная Bort BABort B-12x2Li-FDK (2x1,5А.ч) (91276056);более 10;3895;5190;Bort;;
98296792;Дрель-шуруповерт аккумуляторная Bort BABort B-14Ux2Li-FDK (2x1,5А.ч) (98296792);более 10;3763;4740;Bort;;
98296839;Дрель-шуруповерт аккумуляторная Bort BABort B-18Ux2Li-FDK (2x1,5А.ч) (98296839);более 10;4200;5290;Bort;;
93722616;Дрель-шуруповерт аккумуляторная Bort BABort B-18X-Bort BLK (2x1,5А.ч) (93722616);Нет в наличии;7821;9390;Bort;;
93412611;Дрель-шуруповерт аккумуляторная Bort BABort B-20X-Bort BLK (2x1,5Ah) (93412611);Нет в наличии;5470;7290;Bort;;
91279934;Дрель-шуруповерт аккумуляторная Bort BABort B-24Ux2Li-FDK (2x2,0А.ч) (91279934);более 10;5208;6940;Bort;;
91275998;Дрель-шуруповерт аккумуляторная Bort BABort B-24x2Li-XDK (2x2,0А.ч) (91275998);более 10;5696;7590;Bort;;
98295641;Дрель-шуруповерт электрический Bort BSM-250 (98295641);более 10;1924;2310;Bort;;
98296648;Дрель-шуруповерт электрический Bort BSM-250x2 (98296648);более 10;1783;2140;Bort;;
91275608;Дрель-шуруповерт электрический Bort BSM-300I (91275608);Нет в наличии;2699;3240;Bort;;
93720315;Лобзик электрический Bort BPS-500-P (93720315);более 10;1756;2340;Bort;;
93727017;Лобзик электрический Bort BPS-570U-Q (93727017);более 10;2994;3990;Bort;;
91271334;Лобзик электрический Bort BPS-650-Q (91271334);более 10;2694;3590;Bort;;
93728045;Лобзик электрический Bort BPS-710U-QL (93728045);более 10;2769;3690;Bort;;
98299670;Лобзик электрический Bort BPS-800-Q (98299670);более 10;2882;3840;Bort;;
91275622;Машина шлифовальная вибрационная Bort BS-155 (91275622);более 10;1868;2490;Bort;;
93410099;Машина шлифовальная вибрационная Bort BS-240 (93410099);Нет в наличии;1981;2640;Bort;;
93410136;Машина шлифовальная вибрационная Bort BS-300-R (93410136);более 10;2241;2690;Bort;;
93410105;Машина шлифовальная вибрационная Bort BS-450-R (93410105);более 10;3407;4540;Bort;;
93727994;Машина шлифовальная ленточная Bort BBort BS-1010N (93727994);более 10;5299;6140;Bort;;
93410181;Машина шлифовальная ленточная Bort BBort BS-800-T (93410181);Нет в наличии;4345;5790;Bort;;
93728007;Машина шлифовальная ленточная Bort BBort BS-801N (93728007);более 10;4749;6640;Bort;;
93723422;Машина шлифовальная орбитальная Bort BES-450 (93723422);более 10;3407;4540;Bort;;
91275356;Машина шлифовальная угловая Bort BWS-1000-125 (91275356);более 10;2464;3490;Bort;;
98296631;Машина шлифовальная угловая Bort BWS-1000-R (98296631);более 10;2677;3790;Bort;;
98296617;Машина шлифовальная угловая Bort BWS-1200 (98296617);более 10;2957;3940;Bort;;
91275363;Машина шлифовальная угловая Bort BWS-1200-125 (91275363);более 10;3144;4190;Bort;;
98298802;Машина шлифовальная угловая Bort BWS-1200U-SR (98298802);более 10;3615;4340;Bort;;
91273000;Машина шлифовальная угловая Bort BWS-1405-R (Полировальная) (91273000);более 10;4082;5440;Bort;;
93727673;Машина шлифовальная угловая Bort BWS-1500-150 (93727673);Нет в наличии;3282;3940;Bort;;
93411157;Машина шлифовальная угловая Bort BWS-1600-R (93411157);более 10;4645;6190;Bort;;
93727529;Машина шлифовальная угловая Bort BWS-1600R-150 (93727529);Нет в наличии;3932;5240;Bort;;
93410228;Машина шлифовальная угловая Bort BWS-1700-S (93410228);более 10;4448;5340;Bort;;
91275707;Машина шлифовальная угловая Bort BWS-2005-S (91275707);Нет в наличии;4323;5190;Bort;;
98297157;Машина шлифовальная угловая Bort BWS-2400X (98297157);Нет в наличии;4323;5190;Bort;;
93725792;Машина шлифовальная угловая Bort BWS-2500-S-230 (93725792);более 10;4823;5790;Bort;;
91271037;Машина шлифовальная угловая Bort BWS-610-P (91271037);более 10;1716;2060;Bort;;
91272553;Машина шлифовальная угловая Bort BWS-800X (91272553);более 10;2074;2490;Bort;;
91279125;Машина шлифовальная угловая Bort BWS-900 (91279125);более 10;2169;2890;Bort;;
98290004;Машина шлифовальная угловая Bort BWS-905-R (98290004);более 10;2856;4040;Bort;;
98296389;Машина шлифовальная угловая Bort BWS-950 (98296389);более 10;2574;3090;Bort;;
93722340;Машина шлифовальная угловая аккумуляторная Bort BWS-18Li-125 (93722340);Нет в наличии;11903;14290;Bort;;
93412215;Машина шлифовальная угловая аккумуляторная Bort BWS-20Li-SR (93412215);Нет в наличии;11999;15990;Bort;;
91271143;Мультитестер Bort BMM-1000N (91271143);более 10;825;1100;Bort;;
91271167;Мультитестер Bort BMM-600N (91271167);более 10;435;580;Bort;;
93411300;Мультитестер Bort BMM-750C (93411300);более 10;780;1040;Bort;;
91271150;Мультитестер Bort BMM-800 (91271150);более 10;623;830;Bort;;
98296280;Мультитул Bort BMW-200-P (98296280);более 10;2656;3540;Bort;;
93411133;Перфоратор аккумуляторный Bort BHD-12Li-D (2x2,0Ah) (93411133);более 10;5395;7190;Bort;;
93412697;Перфоратор аккумуляторный Bort BHD-20Li-BL (2x4,0А.ч) (93412697);Нет в наличии;13124;17490;Bort;;
93410143;Перфоратор электрический Bort BHD-1200 (93410143);Нет в наличии;5771;7690;Bort;;
93410150;Перфоратор электрический Bort BHD-1500 (93410150);более 10;6596;8790;Bort;;
93410457;Перфоратор электрический Bort BHD-1500-MAX (93410457);Нет в наличии;12449;16590;Bort;;
91270696;Перфоратор электрический Bort BHD-700-P (91270696);Нет в наличии;4120;5490;Bort;;
93724672;Перфоратор электрический Bort BHD-800N (93724672);более 10;4823;5790;Bort;;
91270689;Перфоратор электрический Bort BHD-800N-K (91270689);более 10;4480;6290;Bort;;
93410716;Перфоратор электрический Bort BHD-800x2 (93410716);более 10;4989;5990;Bort;;
93410167;Пила сабельная аккумуляторная Bort BRS-12Li-G (93410167);более 10;5846;7790;Bort;;
93721848;Пила сабельная аккумуляторная Bort BRS-18Li-FD (93721848);более 10;8697;11590;Bort;;
93722890;Пила сабельная электрическая Bort BRS-900 (93722890);более 10;4682;6240;Bort;;
98296655;Пила циркулярная Bort BHK-110-S (98296655);Нет в наличии;3332;4440;Bort;;
93727215;Пила циркулярная Bort BHK-160U (93727215);более 10;4420;5890;Bort;;
91271020;Пила циркулярная Bort BHK-185N (91271020);более 10;4532;6040;Bort;;
93727222;Пила циркулярная Bort BHK-185U (93727222);более 10;4758;6340;Bort;;
93722258;Пистолет высокого давления Bort Master Gun 50 (Quick Fix) (93722258);Нет в наличии;743;990;Bort;;
98298611;Рубанок электрический BFB-1300-T (98298611);более 10;7496;9990;Bort;;
98291469;Рубанок электрический BFB-850-T (98291469);более 10;5170;6890;Bort;;
91275714;Уровень лазерный автоматический Bort BLN-15 (91275714);более 10;2994;3990;Bort;;
98296808;Уровень лазерный автоматический Bort BLN-15-K (98296808);более 10;3294;4390;Bort;;
93410952;Уровень лазерный автоматический Bort BLN-25-GLK (93410952);более 10;9898;13190;Bort;;
93411140;Уровень лазерный автоматический Bort BLN-25-RLK (93411140);более 10;7647;10190;Bort;;
91271051;Фен технический Bort BHG-1600-P (91271051);более 10;1283;1710;Bort;;
93411102;Фен технический Bort BHG-2000F (93411102);более 10;1591;2120;Bort;;
93411126;Фен технический Bort BHG-2000F-L (93411126);Нет в наличии;2206;2940;Bort;;
98291582;Фен технический Bort BHG-2000L-K (98291582);Нет в наличии;2574;3090;Bort;;
91275431;Фен технический Bort BHG-2000N-LK (91275431);Нет в наличии;2469;3290;Bort;;
91271068;Фен технический Bort BHG-2005N-K (91271068);более 10;1741;2320;Bort;;
93727260;Фрезер электрический Bort BOF-1080N (93727260);более 10;5058;6740;Bort;;
98290011;Фрезер электрический Bort BOF-1600N (98290011);2;5696;7590;Bort;;
93410198;Фрезер электрический Bort BOF-2100 (93410198);более 10;7421;9890;Bort;;
91271099;Компрессор автомобильный Bort BLK-252-Lt (91271099);Нет в наличии;1568;2090;Bort;;
93410884;Компрессор автомобильный Bort BLK-250D-Li (93410884);Нет в наличии;3669;4890;Bort;;
91271105;Компрессор автомобильный Bort BLK-255 (91271105);Нет в наличии;1561;2080;Bort;;
91274014;Компрессор автомобильный Bort BLK-700x2 (91274014);более 10;3032;4040;Bort;;
93723521;Набор ручного инструмента Bort BTK-100 (93723521);более 10;2912;4040;Bort;;
91272867;Набор ручного инструмента Bort BTK-123 (91272867);более 10;3080;3840;Bort;;
91279040;Набор ручного инструмента Bort BTK-160 (91279040);более 10;2581;3440;Bort;;
93722401;Набор ручного инструмента Bort BTK-24 (93722401);более 10;1231;1640;Bort;;
93723491;Набор ручного инструмента Bort BTK-32 (93723491);Нет в наличии;2019;2690;Bort;;
93722388;Набор ручного инструмента Bort BTK-37 (93722388);более 10;1628;2170;Bort;;
93722418;Набор ручного инструмента Bort BTK-42 (93722418);более 10;1223;1630;Bort;;
93723514;Набор ручного инструмента Bort BTK-45 (93723514);Нет в наличии;3032;4040;Bort;;
91279903;Набор ручного инструмента Bort BTK-46 (91279903);более 10;1658;2210;Bort;;
91279187;Набор ручного инструмента Bort BTK-65 (91279187);более 10;4382;5840;Bort;;
91279149;Набор ручного инструмента Bort BTK-82 (91279149);более 10;2957;3940;Bort;;
91276063;Набор ручного инструмента Bort BTK-89 (91276063);более 10;3857;5140;Bort;;
91279897;Набор ручного инструмента Bort BTK-94 (91279897);Нет в наличии;5133;6840;Bort;;
D91112CP-RUS;Гигиенический душ с настенным держателем Bravat (D91112CP-RUS);5;1580;2210;Bravat;no name;
F00414C;Комплект смесителей 2 в 1 BRAVAT Eco (F00414C) ;Нет в наличии;7940;11120;Bravat;Eco;
PB865104CP-2-ENG;Встраиваемый смеситель 2-функц. BRAVAT Gina (PB865104CP-2-ENG);2;1490;2090;Bravat;Gina;
F1233188CP-RUS;Смеситель универсальный для кухни и умывальника Bravar Fit (F1233188CP-RUS);более 5;2390;3340;Bravat;Fit;
F7125183CP-RUS;Смеситель для кухни Bravat Opal (F7125183CP-RUS);Нет в наличии;4230;5920;Bravat;Opal;
PB83783CP-ENG;Смеситель встраиваемый в стену Bravat Stream (1-функц) (PB83783CP-ENG);Нет в наличии;1620;2270;Bravat;Stream;
D9100CP-ENG;Скрытая часть встраиваемого смесителя Bravat (2-функц) Gina (D9100CP-ENG);более 10;4080;5720;Bravat;Gina;
F3239218CP-1-RUS;Смеситель для биде Bravat Eler (F3239218CP-1-RUS);Нет в наличии;3460;4840;Bravat;Eler;
FS101C-RUS;Излив Bravat Built-in (FS101C-RUS);Нет в наличии;2000;2800;Bravat;Built-in;
PB865104CP-ENG;Встраиваемый смеситель 1-функц. Bravat Gina (PB865104CP-ENG);5;1490;2090;Bravat;Gina;
PB856101CP-ENG;Встраиваемый смеситель 1-функц. Bravat Phillis (PB856101CP-ENG);5;2040;2860;Bravat;Phillis;
F1351385CP-RUS;Смеситель для умывальника Bravat Arden (F1351385CP-RUS);Нет в наличии;2970;4160;Bravat;Arden;
F9351385CP-01-RUS;Смеситель для душа Bravat Arden (F9351385CP-01-RUS);5;4050;5680;Bravat;Arden;
F6351385CP-01-RUS;Смеситель для ванны короткий излив Bravat Arden (F6351385CP-01-RUS);более 5;5860;8200;Bravat;Arden;
F1191238CP-RUS;Смеситель для умывальника Bravat Eler (F1191238CP-RUS);5;2550;3570;Bravat;Eler;
F6191238CP-01L-RUS;Смеситель для ванны c длинным изливом Bravat Eler (F6191238CP-01L-RUS);Нет в наличии;4460;6250;Bravat;Eler;
F7191238CP-RUS;Смеситель для кухни Bravat Eler (F7191238CP-RUS);более 5;3030;4240;Bravat;Eler;
F6191238CP-01-RUS;Смеситель для ванны c коротким изливом Bravat Eler (F6191238CP-01-RUS);5;3980;5570;Bravat;Eler;
F1125183CP-RUS;Смеситель для умывальника Bravat Opal (F1125183CP-RUS);5;3270;4580;Bravat;Opal;
F6125183CP-01-RUS;Смеситель для ванны c коротким изливом Bravat Opal (F6125183CP-01-RUS);Нет в наличии;5680;7950;Bravat;Opal;
F5172217CP-1-RUS;Встраиваемый смеситель на 3 отверстия Bravat Angel (F5172217CP-1-RUS);Нет в наличии;13540;18960;Bravat;Angel;
F9191238CP-01-RUS;Смеситель для душа Bravat Eler (F9191238CP-01-RUS);более 10;3030;4240;Bravat;Eler;
F729261CP-RUS;Смеситель для кухни с подключением питьевой воды Bravat Palace (F729261CP-RUS);Нет в наличии;7990;11190;Bravat;Palace;
F1172217CP-A-RUS;Смеситель для умывальника Bravat Palace (F1172217CP-A-RUS);Нет в наличии;7010;9810;Bravat;Palace;
F7124182CP-RUS;Смеситель для кухни Bravat Loop (F7124182CP-RUS);5;3760;5260;Bravat;Loop;
F5173218CP-1-RUS;Встраиваемый смеситель на 3 отверстия Bravat Iguassu (F5173218CP-1-RUS);1;13540;18960;Bravat;Iguassu;
F6119177CP-01;Смеситель для ванны c коротким изливом Bravat Vega (F6119177CP-01);5;7170;10040;Bravat;Vega;
F6119177CP-01L;Смеситель для ванны c длинным изливом Bravat Vega (F6119177CP-01L);1;7800;10930;Bravat;Vega;
F6120178CP-01;Смеситель для ванны c коротким изливом Bravat Alfa (F6120178CP-01);5;5580;7810;Bravat;Alfa;
F6120178CP-01L;Смеситель для ванны c длинным изливом Bravat Alfa (F6120178CP-01L);Нет в наличии;7250;10140;Bravat;Alfa;
F6121179CP-01;Смеситель для ванны c коротким изливом Bravat Real (F6121179CP-01);5;6210;8700;Bravat;REAL;
F6121179CP-01L;Смеситель для ванны c длинным изливом Bravat Real (F6121179CP-01L);Нет в наличии;7490;10480;Bravat;REAL;
F6124182CP-01-RUS;Смеситель для ванны c коротким изливом Bravat Loop (F6124182CP-01-RUS);более 5;5260;7360;Bravat;Loop;
F6124182CP-02L-RUS;Смеситель для ванны c длинным изливом Bravat Loop (F6124182CP-02L-RUS);Нет в наличии;6930;9710;Bravat;Loop;
F6125183CP-02L-RUS;Смеситель для ванны c длинным изливом Bravat Opal (F6125183CP-02L-RUS);5;7160;10020;Bravat;Opal;
F64898C-01A;Смеситель для ванны с коротким изливом Bravat Drop (F64898C-01A);1;4160;5200;Bravat;Drop;
F65299C-B-RUS;Смеситель для ванны с коротким изливом с аксессуарами Bravat Line (F65299C-B-RUS);более 5;9080;12710;Bravat;Line;
F672106C-01;Смеситель для ванны c коротким изливом Bravat Riffle (F672106C-01);Нет в наличии;8600;12040;Bravat;RIFFLE;
F672106C-L;Смеситель для ванны c длинным изливом Bravat Riffle (F672106C-L);Нет в наличии;9720;13600;Bravat;RIFFLE;
F676110C-B-RUS;Смеситель для ванны с коротким изливом с аксессуарами Bravat Iceberg (F676110C-B-RUS);Нет в наличии;13632;17040;Bravat;Iceberg;
F679113C-B;Смеситель для ванны с коротким изливом с аксессуарами Bravat Spring (F679113C-B);Нет в наличии;7264;9080;Bravat;Spring;
F9120178CP-01;Смеситель для душа Bravat Alfa (F9120178CP-01);Нет в наличии;4010;5620;Bravat;Alfa;
F9121179CP-01;Смеситель для душа Bravat Real (F9121179CP-01);более 5;4300;6020;Bravat;REAL;
F9124182CP-01-RUS;Смеситель для душа Bravat Loop (F9124182CP-01-RUS);Нет в наличии;3460;4850;Bravat;Loop;
F939114C-01A-RUS;Термостат для душа Bravat Waterfall (F939114C-01A-RUS);Нет в наличии;10120;14160;Bravat;Waterfall;
P69190C-2-RUS;Смеситель встраиваемый в стену Bravat Drop (2-функц) (P69190C-2-RUS);Нет в наличии;1160;1620;Bravat;Drop;
P69190C-RUS;Смеситель встраиваемый в стену Bravat Drop (3-функц) (P69190C-RUS);Нет в наличии;1160;1620;Bravat;Drop;
P69191C-2-RUS;Смеситель встраиваемый в стену Bravat New Moon (3-функц) (P69191C-2-RUS);4;1180;1660;Bravat;New Moon;
P69191C-RUS;Смеситель встраиваемый в стену Bravat New Moon (2-функц) (P69191C-RUS);более 5;1160;1620;Bravat;New Moon;
PB839103CP-RUS;Смеситель встраиваемый в стену Bravat New Moon (1-функц) (PB839103CP-RUS);Нет в наличии;1670;2330;Bravat;New Moon;
PB84898CP-RUS;Смеситель встраиваемый в стену Bravat Drop (1-функц) (PB84898CP-RUS);более 5;1490;2090;Bravat;Drop;
