fid,Артикул,Название товара,Полное описание,Производитель,Цена продажи,Цена старая,Остаток,Изображения,Url,Подкатегория 1,ID товара в InSales,ID варианта товара в InSales,Параметр: Основной цвет,Параметр: Доп. цвета
253,34033-1G,"Смеситель для кухни (мойки) KAISER Sonat (34033-1G), бронза","",KAISER,5660.0,0.0,0,https://static-ru.insales.ru/images/products/1/5534/486217118/31274706-1.jpg https://static-ru.insales.ru/images/products/1/5535/486217119/31274706-2.jpg,http://santitan.ru/product/smesitel-dlya-kuhni-moyki-kaiser-sonat-34033-1g-bronza?variant_id=467762980,Каталог,269461091,467762980
281,SRR070B040,"Рычаг передней подвески нижний правый BMW 3 4, Z4 (1998-)","",FARO,5201.46,0.0,,https://static-ru.insales.ru/images/products/1/5639/486217223/31184185-1.jpg,http://santitan.ru/product/rychag-peredney-podveski-nizhniy-pravyy-bmw-3-4-z4-1998?variant_id=467763134,Каталог,269461144,467763134
298,SRR070B039,"Рычаг передней подвески нижний левый BMW 3 4, Z4 (1998-)","",FARO,5201.46,0.0,,https://static-ru.insales.ru/images/products/1/5638/486217222/31182937-1.jpg,http://santitan.ru/product/rychag-peredney-podveski-nizhniy-levyy-bmw-3-4-z4-1998?variant_id=467763237,Каталог,269461181,467763237
321,RSM012J015,"Опора двигателя правая Audi Q5, A4 4, A5/S5 (2007-)","",FARO,5245.48,0.0,,https://static-ru.insales.ru/images/products/1/5808/486217392/31194432-1.jpg,http://santitan.ru/product/opora-dvigatelya-pravaya-audi-q5-a4-4-a5s5-2007-2?variant_id=467763362,Каталог,269461223,467763362
333,F7125183CP-RUS,Смеситель для кухни Bravat Opal (F7125183CP-RUS),"",Bravat,5920.0,0.0,0,https://static-ru.insales.ru/images/products/1/5940/486217524/31274836-1.jpg https://static-ru.insales.ru/images/products/1/5941/486217525/31274836-2.jpg,http://santitan.ru/product/smesitel-dlya-kuhni-bravat-opal-f7125183cp-rus-2?variant_id=467763414,Каталог,269461245,467763414
343,35044Vnew,"Смеситель для кухни (мойки) KAISER Venera (35044V new), высокий излив, хром","",KAISER,5884.0,0.0,,https://static-ru.insales.ru/images/products/1/5847/486217431/31274691-1.jpg https://static-ru.insales.ru/images/products/1/5848/486217432/31274691-2.jpg,http://santitan.ru/product/smesitel-dlya-kuhni-moyki-kaiser-venera-35044v-new-vysokiy-izliv-hrom?variant_id=467763480,Каталог,269461266,467763480
349,11063,"Смеситель для кухни (мойки) KAISER Carlson Eco (11063), хром","",KAISER,5551.0,0.0,,https://static-ru.insales.ru/images/products/1/5839/486217423/31274686-1.jpg https://static-ru.insales.ru/images/products/1/5841/486217425/31274686-2.jpg,http://santitan.ru/product/smesitel-dlya-kuhni-moyki-kaiser-carlson-eco-11063-hrom?variant_id=467763509,Каталог,269461278,467763509
394,11022,Смеситель для кухонной мойки KAISER Carlson (11022),"",KAISER,5934.0,0.0,,https://static-ru.insales.ru/images/products/1/6076/486217660/31274805-1.jpg https://static-ru.insales.ru/images/products/1/6077/486217661/31274805-2.jpg,http://santitan.ru/product/smesitel-dlya-kuhonnoy-moyki-kaiser-carlson-11022-2?variant_id=467763711,Каталог,269461367,467763711
420,F6191238CP-01-RUS,Смеситель для ванны c коротким изливом Bravat Eler (F6191238CP-01-RUS),"",Bravat,5570.0,0.0,0,https://static-ru.insales.ru/images/products/1/6323/486217907/31901543-1.jpg https://static-ru.insales.ru/images/products/1/6324/486217908/31901543-2.jpg,http://santitan.ru/product/smesitel-dlya-vanny-c-korotkim-izlivom-bravat-eler-f6191238cp-01-rus-2?variant_id=467763849,Каталог,269461420,467763849
422,14033,Смеситель для кухонной мойки KAISER Planet (14033),"",KAISER,5884.0,0.0,,https://static-ru.insales.ru/images/products/1/6229/486217813/31274846-1.jpg https://static-ru.insales.ru/images/products/1/6230/486217814/31274846-2.jpg,http://santitan.ru/product/smesitel-dlya-kuhonnoy-moyki-kaiser-planet-14033-2?variant_id=467763858,Каталог,269461425,467763858
429,F7124182CP-RUS,Смеситель для кухни Bravat Loop (F7124182CP-RUS),"",Bravat,5260.0,0.0,0,https://static-ru.insales.ru/images/products/1/6312/486217896/31274930-1.jpg https://static-ru.insales.ru/images/products/1/6314/486217898/31274930-2.jpg,http://santitan.ru/product/smesitel-dlya-kuhni-bravat-loop-f7124182cp-rus?variant_id=467763889,Каталог,269461438,467763889
441,13056/03,Полотенцедержатель двойной Timo Saona (13056/03) черный,"",TIMO,5903.0,0.0,10,https://static-ru.insales.ru/images/products/1/6346/486217930/32354302-1.jpg https://static-ru.insales.ru/images/products/1/6347/486217931/32354302-2.jpg,http://santitan.ru/product/polotentsederzhatel-dvoynoy-timo-saona-1305603-chernyy-2?variant_id=467763947,Каталог,269461461,467763947
443,19044-1Br,Смеситель для кухонной мойки KAISER Athlete (19044-1Br),"",KAISER,5480.0,0.0,0,https://static-ru.insales.ru/images/products/1/6258/486217842/31274872-1.jpg https://static-ru.insales.ru/images/products/1/6260/486217844/31274872-2.jpg,http://santitan.ru/product/smesitel-dlya-kuhonnoy-moyki-kaiser-athlete-19044-1br-2?variant_id=467763957,Каталог,269461466,467763957
468,55244-2,Смеситель для кухонной мойки KAISER County (55244-2),"",KAISER,5110.0,0.0,0,https://static-ru.insales.ru/images/products/1/6422/486218006/31274898-1.jpg https://static-ru.insales.ru/images/products/1/6423/486218007/31274898-2.jpg,http://santitan.ru/product/smesitel-dlya-kuhonnoy-moyki-kaiser-county-55244-2-2?variant_id=467764118,Каталог,269461519,467764118
469,20433,Смеситель для кухонной мойки KAISER City (20433),"",KAISER,5951.0,0.0,,https://static-ru.insales.ru/images/products/1/6448/486218032/31274926-1.jpg https://static-ru.insales.ru/images/products/1/6449/486218033/31274926-2.jpg,http://santitan.ru/product/smesitel-dlya-kuhonnoy-moyki-kaiser-city-20433-2?variant_id=467764124,Каталог,269461521,467764124
506,CAS090H016,"Комплект сцепления Hyundai/Kia H-1, H100, Starex; Kia Bongo, Pregio, K2500 (1997-)","",FARO,5067.98,0.0,,https://static-ru.insales.ru/images/products/1/6486/486218070/31304929-1.jpg,http://santitan.ru/product/komplekt-stsepleniya-hyundaikia-h-1-h100-starex-kia-bongo-pregio-k2500-1997?variant_id=467764335,Каталог,269461593,467764335
679,160038/02,Дозатор для жидкого мыла Timo Nelson (160038/02),"",TIMO,5122.0,0.0,10,https://static-ru.insales.ru/images/products/1/7126/486218710/32354147-1.jpg https://static-ru.insales.ru/images/products/1/7127/486218711/32354147-2.jpg,http://santitan.ru/product/dozator-dlya-zhidkogo-myla-timo-nelson-16003802-2?variant_id=467765171,Каталог,269461907,467765171
710,160022/02,Полка прямоугольная Timo Nelson (160022/02),"",TIMO,5379.0,0.0,10,https://static-ru.insales.ru/images/products/1/7074/486218658/32353299-1.jpg https://static-ru.insales.ru/images/products/1/7077/486218661/32353299-2.jpg,http://santitan.ru/product/polka-pryamougolnaya-timo-nelson-16002202-2?variant_id=467765331,Каталог,269461962,467765331
763,160078/02,Полка для мочалок Timo Nelson (160078/02),"",TIMO,5122.0,0.0,10,https://static-ru.insales.ru/images/products/1/7311/486218895/32354000-1.jpg https://static-ru.insales.ru/images/products/1/7313/486218897/32354000-2.jpg,http://santitan.ru/product/polka-dlya-mochalok-timo-nelson-16007802-2?variant_id=467765631,Каталог,269462061,467765631
780,150079/00,Полка Timo Nelson (150079/00),"",TIMO,5464.0,0.0,10,https://static-ru.insales.ru/images/products/1/7509/486219093/32353778-1.jpg https://static-ru.insales.ru/images/products/1/7511/486219095/32353778-2.jpg,http://santitan.ru/product/polka-timo-nelson-15007900-2?variant_id=467765689,Каталог,269462090,467765689
782,160032/02,Стакан двойной Timo Nelson (160032/02),"",TIMO,5122.0,0.0,10,https://static-ru.insales.ru/images/products/1/7457/486219041/32353590-1.jpg https://static-ru.insales.ru/images/products/1/7458/486219042/32353590-2.jpg,http://santitan.ru/product/stakan-dvoynoy-timo-nelson-16003202-2?variant_id=467765702,Каталог,269462094,467765702
790,160080/02,Полка с крючком Timo Nelson (160080/02),"",TIMO,5634.0,0.0,10,https://static-ru.insales.ru/images/products/1/7505/486219089/32353776-1.jpg https://static-ru.insales.ru/images/products/1/7506/486219090/32353776-2.jpg,http://santitan.ru/product/polka-s-kryuchkom-timo-nelson-16008002-2?variant_id=467765745,Каталог,269462110,467765745
801,150081/00,Полка с крючками Timo Nelson (150081/00),"",TIMO,5122.0,0.0,10,https://static-ru.insales.ru/images/products/1/7541/486219125/32353856-1.jpg https://static-ru.insales.ru/images/products/1/7542/486219126/32353856-2.jpg,http://santitan.ru/product/polka-s-kryuchkami-timo-nelson-15008100-2?variant_id=467765792,Каталог,269462133,467765792
805,160077/02,Полка угловая Timo Nelson (160077/02),"",TIMO,5292.0,0.0,10,https://static-ru.insales.ru/images/products/1/7572/486219156/32354225-1.jpg https://static-ru.insales.ru/images/products/1/7574/486219158/32354225-2.jpg,http://santitan.ru/product/polka-uglovaya-timo-nelson-16007702-2?variant_id=467765812,Каталог,269462140,467765812
870,PSM-100-2,Смеситель для ванны с душем ПСМ-ПРОФСАН PSM-100-2 ЭЛИТ тип См-ВУОРНШлА,"",ПСМ-Профсан,5090.0,0.0,0,https://static-ru.insales.ru/images/products/1/8036/486219620/33726218-1.jpg https://static-ru.insales.ru/images/products/1/8037/486219621/33726218-2.jpg https://static-ru.insales.ru/images/products/1/8038/486219622/33726218-3.jpg https://static-ru.insales.ru/images/products/1/8039/486219623/33726218-4.jpg https://static-ru.insales.ru/images/products/1/8040/486219624/33726218-5.jpg https://static-ru.insales.ru/images/products/1/8043/486219627/33726218-6.jpg https://static-ru.insales.ru/images/products/1/8046/486219630/33726218-7.jpg,http://santitan.ru/product/smesitel-dlya-vanny-s-dushem-psm-profsan-psm-100-2-elit-tip-sm-vuornshla-2?variant_id=467766178,Каталог,269462280,467766178
874,12056/03,Полотенцедержатель двойной Timo Selene (12056/03) черный,"",TIMO,5992.0,0.0,10,https://static-ru.insales.ru/images/products/1/7975/486219559/32354303-1.jpg https://static-ru.insales.ru/images/products/1/7976/486219560/32354303-2.jpg,http://santitan.ru/product/polotentsederzhatel-dvoynoy-timo-selene-1205603-chernyy-2?variant_id=467766196,Каталог,269462289,467766196
896,160023/02,Мыльница решетка Timo Nelson (160023/02),"",TIMO,5207.0,0.0,10,https://static-ru.insales.ru/images/products/1/7980/486219564/32354309-1.jpg https://static-ru.insales.ru/images/products/1/7982/486219566/32354309-2.jpg,http://santitan.ru/product/mylnitsa-reshetka-timo-nelson-16002302-2?variant_id=467766346,Каталог,269462342,467766346
923,26011,Смеситель для раковины KAISER Merkur (26011),"",KAISER,5110.0,0.0,,https://static-ru.insales.ru/images/products/1/105/486219881/35873336-1.jpg https://static-ru.insales.ru/images/products/1/106/486219882/35873336-2.jpg,http://santitan.ru/product/smesitel-dlya-rakoviny-kaiser-merkur-26011?variant_id=467766509,Каталог,269462409,467766509
1046,DA1382801,Смеситель для раковины D&K Hessen Grimm (DA1382801),"",D&K,5340.0,0.0,0,https://static-ru.insales.ru/images/products/1/463/486220239/34000178-1.jpg https://static-ru.insales.ru/images/products/1/464/486220240/34000178-2.jpg https://static-ru.insales.ru/images/products/1/465/486220241/34000178-3.jpg https://static-ru.insales.ru/images/products/1/466/486220242/34000178-4.jpg https://static-ru.insales.ru/images/products/1/467/486220243/34000178-5.jpg,http://santitan.ru/product/smesitel-dlya-rakoviny-dk-hessen-grimm-da1382801-2?variant_id=467767237,Каталог,269462650,467767237
1047,DA1342101,Смеситель для раковины D&K Rhein Ambrosius (DA1342101),"",D&K,5010.0,0.0,10,https://static-ru.insales.ru/images/products/1/511/486220287/34000851-1.jpg https://static-ru.insales.ru/images/products/1/512/486220288/34000851-2.jpg https://static-ru.insales.ru/images/products/1/513/486220289/34000851-3.jpg https://static-ru.insales.ru/images/products/1/514/486220290/34000851-4.jpg https://static-ru.insales.ru/images/products/1/515/486220291/34000851-5.jpg,http://santitan.ru/product/smesitel-dlya-rakoviny-dk-rhein-ambrosius-da1342101-2?variant_id=467767244,Каталог,269462652,467767244
