ID варианта товара,Название товара,Артикул,Цена продажи,Остаток
467762220,"Смеситель для кухни (мойки) D&K Rhein.Schiller DA1462517A, черный",DA1462517A,11840.0,10
467762228,Смеситель для раковины D&K Venice Gondola (DA1022141),DA1022141,4980.0,10
467762235,"Смеситель для кухни (мойки) KAISER Vincent 31144 под фильтр, хром",31144,14467.0,
467762242,"Смеситель для кухни (мойки) D&K (DA1372425) высокий излив, черный",DA1372425,4880.0,10
467762249,"Смеситель для кухни (мойки) D&K Venice Rialto (DA1062341), хром",DA1062341,4670.0,10
467762255,Смеситель для ванны D&K Bayern-Wurzburg (DA1113201),DA1273201,6450.0,10
467762261,Смеситель для ванны с душем D&K (DA1383301) длинный излив хром,DA1383301,6700.0,0
467762269,Смеситель для ванны с душем D&K Bayern.Purer DA1253201 короткий излив хром,DA1253201,4540.0,10
467762274,"Смеситель для ванны с душем D&K Rhein.Mosel DA1263301 длинный излив, хром",DA1263301,9280.0,10
467762281,"Смеситель для кухни D&K Rhein.Altportel DA1332401 высокий излив, хром",DA1332401,6170.0,10
467762309,Смеситель для кухни (мойки) KAISER Planet (22033) с вытяжной лейкой,22033,9134.0,
467762315,Смеситель для кухни D&K Rhein Valerius (DA1362401),DA1362401,4500.0,10
467762321,"Смеситель для кухни (мойки) D&K Rhein.Mosel DA1262441, высокий излив, хром",DA1262441,5640.0,10
467762325,Смеситель для кухни (мойки) D&K ( DA1432416) высокий белый-хром,DA1432416,7100.0,10
467762346,"Смеситель для кухни (мойки) D&K Venice Gondola DA1022441, хром",DA1022441,6400.0,10
467762355,Смеситель для кухни D&K (DA 1032541) с выдвижной лейкой хром,DA1032541,8400.0,0
467762366,"Смеситель для кухни (мойки) D&K Bayern.Alfeld DA1482401, высокий излив",DA1482401,9690.0,10
467762370,"Смеситель для ванны с душем D&K Rhein Speyer DA1313301, хром",DA1313301,9760.0,10
467762380,Смеситель для кухни D&K (DA1462504D) с выдвижной лейкой хром,DA1462504D,11650.0,10
467762389,"Смеситель для ванны с душем D&K Rhein.Feuerbach DA1283301, длинный излив, хром",DA1283301,9720.0,10
467762401,Смеситель для кухни ( мойки) D&K (DA1462517D) с выдвижной лейкой черный-золото,DA1462517D,12430.0,10
467762415,"Смеситель для ванны с душем D&K Hessen Lorsch DA1413201 в ванную комнату, хром",DA1413201,6520.0,10
467762426,Смеситель для кухни D&K Venice.Gondola (DA1022401),DA1022401,6160.0,10
467762433,Смеситель для раковины D&K Berlin.Technische (DA1432125) черный матовый,DA1432125,6400.0,0
467762448,Смеситель для ванны D&K Venice Gondola (DA1023241),DA1023241,8400.0,10
467762454,"Смеситель для кухни (мойки) D&K Rhein Reisling (DA1272401), хром",DA1372141,3460.0,10
467762459,Смеситель для кухонной мойки KAISER Mode (99111),99111,9234.0,
467762463,"Смеситель для кухни (мойки) D&K Rhein Paulinus DA1352401, хром",DA1352401,4500.0,10
467762470,"Смеситель для ванны с душем D&K Rhein.Feuerbach DA1283201, короткий излив, хром",DA1283201,6460.0,10
467762479,Гарнитур душевой,DA1433712A02,17490.0,10
467762488,"Душевая система KAISER Guss 68182, хром",68182,22834.0,
467762503,Смеситель для кухни (мойки) Bravat Iceberg (F776110C-2),F776110C-2,13730.0,0
467762511,"Смеситель для кухни (мойки) D&K Hessen Kassel DA1422401, хром",DA1422401,3110.0,0
467762518,Смеситель для кухни (мойки) D&K (DA1282401),DA1282401,6400.0,10
467762540,Смеситель для раковины ( умывальника) D&K (DA1342141) хром,DA1342141,3460.0,10
467762544,Смеситель для ванны D&K Bayern-Wurzburg (DA1113201),DA1113201,4300.0,0
467762549,Смеситель для кухонной мойки KAISER Vincent (31844-2),31844-2,9340.0,0
467762560,Смеситель для раковины D&K Rhein Paulinus (DA1352141),DA1352141,3460.0,10
467762580,Смеситель для раковины ( умывальника)  G&K (DA1062641),DA1062641,6340.0,0
467762606,Смеситель для ванны D&K Berlin Steinbeis (DA1433316),DA1433316,12060.0,0
467762615,"Смеситель для ванны с душем D&K Venice.Rialto DA1063201, короткий излив, хром",DA1063201,7340.0,10
467762635,Гарнитур душевой D&K (DA1033701B14)хром,DA1033701B14,22870.0,10
467762646,Смеситель для раковины D&K (DA1462101) хром,DA1462101,2690.0,10
467762657,Гарнитур душевой D&K (DA1253701B06) хром,DA1253701B06,17860.0,0
467762672,"Смеситель для ванны с душем D&K Bayern.Arbeo DA1243201, хром",DA1243201,4520.0,10
467762677,"Смеситель для ванны с душем D&K Berlin Freie DA1433201, хром",DA1433201,10570.0,10
467762683,"Смеситель для раковины (умывальника) D&K Bayern.Alfeld DA1482101, хром, с кнопочным включением",DA1482101,8420.0,10
467762689,"Смеситель для ванны с душем D&K Berlin.Technische DA1433215, короткий излив, черный-хром",DA1433215,11830.0,10
467762697,"Смеситель для ванны с душем D&K Rhein.Bach DA1473201, короткий излив, хром",DA1473201,5320.0,10
467762711,Смеситель для кухонной мойки KAISER Saturn (42044),42044,11501.0,
467762722,"Смеситель для ванны с душем D&K Hessen.Goethe DA1383241 короткий излив, хром",DA1383241,5790.0,10
467762731,Смеситель для ванны с душем D&K (DA1263201) короткий излив хром,DA1263201,6620.0,10
467762746,Смеситель для душа D&K (DA1363101),DA1363101,4470.0,0
467762749,Смеситель для ванны D&K Bayern.Arbeo (DA1243301),DA1423301,4860.0,10
467762753,Смеситель для ванны D&K Rhein Valerius (DA1363201),DA1363201,5790.0,10
467762758,"Смеситель для ванны с душем D&K Venice.Rialto DA1063301, длинный излив, хром",DA1063301,9510.0,10
467762765,Смеситель для биде D&K Rhein.Ambrosius DA1342201 хром,DA1342201,3470.0,10
467762772,Смеситель для кухни (мойки) KAISER Merkur (26044-2) черный,26044-2,10020.0,0
467762779,Смеситель для ванны D&K Berlin Kunste (DA1433313),DA1433313,8620.0,10
467762810,Смеситель для ванны D&K Rhein.Reisling (DA1273341),DA1273341,8280.0,10
467762817,Душевая система хром D&K Hessen.Kassel DA1424701D08,DA1424701D08,14760.0,10
467762843,"Смеситель для раковины (умывальника) D&K Venice.Gondola DA1022041 высокий излив, хром",DA1022041,6960.0,0
467762847,"Смеситель для кухни (мойки) KAISER Venus (39066-4) под фильтр, песочный мрамор",39066-4,10670.0,0
467762891,"Смеситель для кухни (мойки) KAISER Merkur (26633), высокий излив, хром",26633,11034.0,
467762918,"Смеситель для кухни (мойки) KAISER Venus (39066-5), под фильтр, хром",39066-5,10930.0,0
467762930,Смеситель для биде D&K Rhein.Paulinus DA1352201 хром,DA1352201,3470.0,0
467762963,Смеситель для раковины (умывальника) D&K Rhein.Paulinus DA1352101 хром,DA1352101,5010.0,10
467762972,"Смеситель для кухни (мойки) Bravat Drop (F74898C-2), хром",F74898C-2,5200.0,0
467762980,"Смеситель для кухни (мойки) KAISER Sonat (34033-1G), бронза",34033-1G,5660.0,0
467762982,"Смеситель для кухни (мойки) KAISER Stick 49144 боковой, хром",49144,17068.0,
467762986,Смеситель для кухонной мойки KAISER Corner (48044),48044,15001.0,
467762990,Смеситель для кухонной мойки KAISER Safira (22066),22066,9134.0,
467763000,Смеситель для кухни (мойки) KAISER Glory (69044) хром,69044,10451.0,
467763008,Смеситель для кухонной мойки KAISER County (55244-9),55244-9,4510.0,0
467763014,Смеситель для кухонной мойки KAISER Milos (51044-1An),51044-1An,11990.0,0
467763029,"Смеситель для биде D&K Hessen.Lorsch DA1412201, хром",DA1412201,3500.0,10
467763052,Смеситель для биде D&K Berlin Humboldt (DA1432212),DA1432212,4560.0,10
467763055,Смеситель для биде D&K Berlin Kunste (DA1432213),DA1432213,4560.0,10
467763061,"Смеситель для кухни (мойки) KAISER Teka 13044-1 Antique боковой под фильтр, антик",13044-1,9540.0,0
467763066,Смеситель для кухонной мойки KAISER Vincent (31744-4) под фильтр,31744-4,7310.0,0
