Артикул,Название товара,Остаток,Цена продажи,Закупочная цена,Бренд,Серия
DA1432415,Смеситель для кухни D&K Berlin Technische (DA1432415),0,7100.0,4896.0,D&K,Berlin.Technische
DA1433115,Смеситель для душа D&K Berlin Technische (DA1433115),0,8480.0,5848.0,D&K,Berlin.Technische
DA1433213,Смеситель для ванны D&K Berlin Kunste (DA1433213),10,8460.0,5832.0,D&K,Berlin.Kunste
DA1433212,Смеситель для душа D&K Berlin Humboldt (DA1433212),10,8460.0,5832.0,D&K,Berlin.Humboldt
DA1433312,Смеситель для ванны D&K Berlin Humboldt (DA1433312),10,8620.0,5946.0,D&K,Berlin.Humboldt
DA1433103,Смеситель для душа D&K Berlin Tourto (DA1433103),10,9490.0,6548.0,D&K,Berlin.Tourto
DA1433313,Смеситель для ванны D&K Berlin Kunste (DA1433313),10,8620.0,5946.0,D&K,Berlin.Kunste
DA1393501,Смеситель для ванны D&K Rhein Marx (DA1393501),10,7010.0,4832.0,D&K,Rhein.Marx
DA1394401,Смеситель для раковины встраиваемый D&K Rhein Marx (DA1394401),10,8470.0,5840.0,D&K,Rhein.Marx
DA1394501,Смеситель с гигиеническим душем встраиваемый D&K Rhein Marx (DA1394501),10,9510.0,6560.0,D&K,Rhein.Marx
DA1394901,Смеситель для ванны D&K Rhein Marx (DA1394901),10,7430.0,5122.0,D&K,Rhein.Marx
DA1453316,Смеситель для ванны D&K Berlin Steinbeis (DA1453316),0,8460.0,5832.0,D&K,Berlin.Steinbeis
DA1453315,Смеситель для ванны D&K Berlin Technische (DA1453315),10,8460.0,5832.0,D&K,Berlin.Technische
DA1384441,Смеситель для раковины встраиваемый D&K Hessen Goethe (DA1384441),0,8440.0,5824.0,D&K,Hessen.Goethe
DA1384841,Смеситель для ванны встраиваемый D&K Hessen Goethe (DA1384841),10,8030.0,5536.0,D&K,Hessen.Goethe
DA1414401,Смеситель для раковины встраиваемый D&K Hessen Lorsch (DA1414401),10,8790.0,6064.0,D&K,Hessen.Lorsch
DA1414801,Смеситель для ванны встраиваемый D&K Hessen Lorsch (DA1414801),10,7640.0,5272.0,D&K,Hessen.Lorsch
DA1414901,Смеситель для ванны D&K Hessen Lorsch (DA1414901),0,9040.0,6232.0,D&K,Hessen.Lorsch
DA1433101,Смеситель для душа D&K Berlin Freie (DA1433101),0,7700.0,5312.0,D&K,Berlin.Freie
DA1393301,Смеситель для ванны D&K Rhein Marx (DA1393301),10,7640.0,5272.0,D&K,Rhein.Marx
DA1322401,Смеситель для кухни D&K Rhein Lessing (DA1322401),10,7040.0,4856.0,D&K,Rhein.Lessing
DA1323201,Смеситель для ванны D&K Rhein Lessing (DA1323201),10,8100.0,5584.0,D&K,Rhein.Lessing
DA1323301,Смеситель для ванны D&K Rhein Lessing (DA1323301),0,9290.0,6408.0,D&K,Rhein.Lessing
DA1313201,Смеситель для ванны D&K Rhein Speyer (DA1313201),10,8350.0,5760.0,D&K,Rhein.Speyer
DA1313301,Смеситель для ванны D&K Rhein Speyer (DA1313301),10,9760.0,6728.0,D&K,Rhein.Speyer
