Артикул,Название товара,Остаток,Цена продажи,Закупочная цена,Бренд,Серия
1WH302186,Мебельная раковина Aquaton Santek Нео 60 (1WH302186),10,2748.0,1866.0,AQUATON,
1WH302084,Мебельная раковина Aquaton Santek Тигода 80 1WH302084,10,6315.0,4289.0,AQUATON,
1WH302083,Мебельная раковина Aquaton Santek Тигода 70 (1WH302083),10,5019.0,3408.0,AQUATON,
1WH302082,Мебельная раковина Aquaton Santek Тигода 60 (1WH302082),10,4459.0,3028.0,AQUATON,
1A123301AA010,Тумба под раковину Aquaton Ария 65 М белый (1A123301AA010),10,11353.0,7637.0,AQUATON,Ария
1A133702AA010,Зеркало Aquaton Ария 65 (1A133702AA010),10,6295.0,4235.0,AQUATON,Ария
1A222502NRC80,"Зеркальный шкаф Aquaton Рене 80 белый, грецкий орех (1A222502NRC80)",10,14796.0,9953.0,AQUATON,Рене
1A101302OT010,Зеркало Aquaton Отель 80 (1A101302OT010),10,10662.0,7451.0,AQUATON,Отель
